Gid	stats
FirmA54	0
FirmA84	0
FirmA9	0
FirmA46	0
FirmA63	0
FirmA45	0
FirmA40	0
FirmA30	0
FirmA10	0
FirmA109	0
FirmA95	0
FirmA77	0
FirmA99	0
FirmA18	0
FirmA103	0
FirmA57	0
FirmA16	0
FirmA26	0
FirmA41	0
FirmA7	0
FirmA12	0
FirmA93	0
FirmA90	0
FirmA112	0
FirmA102	0
FirmA76	0
FirmA2	0
FirmA20	0
FirmA100	0
FirmA52	0
FirmA107	0
FirmA42	0
FirmA25	0
FirmA56	0
FirmA38	0
FirmA32	0
FirmA24	0
FirmA8	0
FirmA1	0
FirmA111	0
FirmA11	0
FirmA67	0
FirmA79	0
FirmA50	0
FirmA70	0
FirmA37	0
FirmA87	0
FirmA106	0
FirmA114	0
FirmA98	0
FirmA62	0
FirmA6	0
FirmA58	0
FirmA43	0
FirmA39	0
FirmA104	0
FirmA78	0
FirmA96	0
FirmA91	0
FirmA27	0
FirmA71	0
FirmA89	0
FirmA110	0
FirmA105	0
FirmA68	0
FirmA31	0
FirmA53	0
FirmA35	0
FirmA80	0
FirmA34	0
FirmA21	0
FirmA47	0
FirmA108	0
FirmA88	0
FirmA101	0
