trait	alpha	aic	logLik	GBDT40	Dstats
K02434	1.36002994722741	1946.46929552407	-971.234647762037	No	1.0
K01426	7.27949189729568	2505.07278665514	-1250.53639332757	No	0.903
K02433	2.26571119969258	2831.6019234384	-1413.8009617192	No	0.986
K02435	1.28144572750044	1607.60571936123	-801.802859680615	No	1.0
K19294	9.73299240084532	6312.82828809465	-3154.41414404732	No	0.004
K09759	9.22384047059711	1319.64828598842	-657.824142994209	No	0.827
K07075	25.212744165039	7325.94126649668	-3660.97063324834	No	0.0
K09762	0.40701336193029	630.121550705679	-313.06077535284	No	1.0
K06958	0.82507460727834	1283.8943210108	-639.947160505399	No	1.0
K00075	0.460536579067942	974.586195592416	-485.293097796208	No	0.571
K04477	7.06948755678459	2427.54160162589	-1211.77080081295	No	0.99
K06023	1.39302347413371	1683.29144514014	-839.645722570068	No	1.0
K01442	15.7455304224025	7055.88782654089	-3525.94391327045	No	0.0
K01754	5.45621011391827	3838.33985703519	-1917.1699285176	No	0.515
K09022	6.02984175789312	4619.04576368712	-2307.52288184356	No	0.808
K21739	22.3696734925809	3207.50021532144	-1601.75010766072	No	0.002
K03972	12.0475454531539	5800.90295638062	-2898.45147819031	No	0.001
K00059	5.54897165033357	1596.3728952833	-796.186447641652	No	0.819
K07775	2.75221983405045	708.535587710922	-352.267793855461	No	1.0
K15635	4.71473103054843	1630.25236565196	-813.126182825981	No	0.92
K01939	2.02935138997586	1398.33625606824	-697.168128034119	No	0.215
K03623	18.0829193053718	3565.59053415702	-1780.79526707851	No	0.078
K03282	6.20964157843171	4601.96229292407	-2298.98114646204	No	0.277
K00615	6.19952627107934	1573.27203230608	-784.63601615304	No	0.466
K07507	13.5804528202494	8073.58525965553	-4034.79262982777	No	0.0
K01734	5.03807571870348	4186.84460489236	-2091.42230244618	No	0.982
K05515	1.3399756837241	2151.88682927148	-1073.94341463574	No	1.0
K03571	1.79387345769681	2281.5117884474	-1138.7558942237	No	1.0
K03570	0.808363209062308	1519.48278636891	-757.741393184453	No	1.0
K03569	0.947108061537817	1362.28790279208	-679.143951396042	No	1.0
K06287	2.76612285910132	1757.78159105633	-876.890795528165	No	0.984
K08303	4.82626650858636	4727.35858248019	-2361.6792912401	No	0.977
K09888	1.42239344045331	2099.9000456745	-1047.95002283725	No	1.0
K01515	5.22227418584082	4836.7004666692	-2416.3502333346	No	0.721
K00262	8.60982217352939	6625.31003410983	-3310.65501705491	No	0.039
K00266	5.19895012499182	4313.28716837094	-2154.64358418547	No	0.667
K00528	3.10998343893668	3404.67974615551	-1700.33987307776	No	0.997
K01489	4.10674173125046	3534.6391035	-1765.31955175	No	0.978
K11928	5.99036296809065	4223.48154172884	-2109.74077086442	No	0.943
K01534	9.96198047047561	7392.0892822791	-3694.04464113955	No	0.001
K21903	4.35035153711479	3120.41004213876	-1558.20502106938	No	0.957
K04567	1.34709256815607	1617.92071623633	-806.960358118164	No	0.997
K03624	1.44417907458272	1755.23119213186	-875.615596065928	No	0.745
K03797	0.887918981896407	1120.06623559966	-558.033117799831	No	1.0
K02647	10.0606932413777	3871.63981861391	-1933.81990930695	No	0.608
K00788	10.7895085540537	5995.85352794948	-2995.92676397474	No	0.0
K00878	9.77163420655936	5912.7301521799	-2954.36507608995	No	0.052
K00941	7.81167220533601	5991.80416385577	-2993.90208192788	No	0.09
K03147	7.77096993427192	6044.25748193872	-3020.12874096936	No	0.107
K07217	23.8373946174285	5753.41899164806	-2874.70949582403	No	0.0
K00773	0.996796150957469	1316.5210271583	-656.260513579152	No	1.0
K07568	2.68186459649462	1946.2795298	-971.139764899999	No	0.999
K06381	2.21665251006303	1747.14819863585	-871.574099317924	No	1.0
K00133	2.94749130486392	1850.07272886104	-923.03636443052	No	0.097
K01714	2.84918534207851	1999.9751033778	-997.987551688898	No	0.36
K00215	2.68306662123339	2045.06964839178	-1020.53482419589	No	0.505
K07486	48.8067835222704	11586.3905577213	-5791.19527886064	No	0.0
K03976	5.15351013722489	4607.06775877212	-2301.53387938606	No	0.88
K01873	0.832338949104096	1574.56252488908	-785.28126244454	No	0.03
K07258	1.53379725465033	2035.08660717096	-1015.54330358548	No	1.0
K01586	3.62011723687672	2731.72287002757	-1363.86143501379	No	0.068
K01198	16.6099041203968	6310.40061354176	-3153.20030677088	No	0.0
K07574	0.943403784397436	1167.77800379234	-581.88900189617	No	1.0
K03584	0.906411342861015	1377.90981307937	-686.954906539685	No	0.674
K03595	1.12267135745808	989.54002666049	-492.770013330245	No	0.669
K07042	5.32098117795269	894.622626092748	-445.311313046374	No	0.0
K06217	0.599552025802578	1307.73046128964	-651.86523064482	No	0.974
K02004	3.2292938852973	1168.74267061983	-582.371335309917	No	0.234
K02003	12.1699446339237	2255.02259691659	-1125.51129845829	No	0.001
K00854	11.3902951941669	6883.47553373848	-3439.73776686924	No	0.002
K07095	4.81986298704383	4726.70315114814	-2361.35157557407	No	0.968
K01955	2.73261489887894	3414.18423953542	-1705.09211976771	No	0.712
K03596	1.9137256735812	2016.88473791815	-1006.44236895907	No	0.0
K02968	17.6075472599385	1144.65090814163	-570.325454070816	No	0.0
K19350	11.4860291248934	1951.03526877817	-973.517634389087	No	0.505
K00598	10.8608380608413	3897.01589030335	-1946.50794515167	No	0.775
K13653	13.6982809128879	4918.13098365544	-2457.06549182772	No	0.001
K01685	15.0349102981063	5806.74512832041	-2901.3725641602	No	0.002
K00041	15.6018511025805	4315.35980829087	-2155.67990414543	No	0.026
K00874	12.9663512946638	7952.61048024882	-3974.30524012441	No	0.0
K01812	13.9335837510881	6781.00100773862	-3388.50050386931	No	0.0
K03086	0.786381862803134	1517.0596090144	-756.529804507198	No	0.999
K01129	3.04029426065559	2878.76162028141	-1437.38081014071	No	0.998
K06967	0.870701932348137	1090.14075767558	-543.070378837789	No	1.0
K07164	1.89970638571016	2071.76320008929	-1033.88160004464	No	1.0
K22391	2.57013329184804	2277.3575157398	-1136.6787578699	No	1.0
K06200	8.75700006135019	6317.31707402706	-3156.65853701353	No	0.095
K10947	6.69573718764439	5688.63220247064	-2842.31610123532	No	0.42
K02856	16.704586666301	2343.43044892557	-1169.71522446278	No	0.444
K01815	16.5695932884407	5739.88393848227	-2867.94196924114	No	0.001
K10206	4.04498592118571	2232.47305446108	-1114.23652723054	No	0.94
K01778	2.39640411855352	2571.15771634048	-1283.57885817024	No	0.858
K03308	5.81767660597015	4746.31488930852	-2371.15744465426	No	0.877
K07005	8.96594841421934	6185.10573612306	-3090.55286806153	No	0.046
K15987	3.95258528740933	3081.97796141541	-1538.9889807077	No	0.997
K03723	0.672096527057848	1353.59266340248	-674.79633170124	No	0.253
K01056	2.15753256450347	852.380935486778	-424.190467743389	No	0.0
K04042	1.07892979259836	1744.88484771229	-870.442423856147	No	1.0
K07729	13.9788349944383	8472.10759811709	-4234.05379905854	No	0.0
K13771	9.58713052541724	5852.44454197344	-2924.22227098672	No	0.152
K17472	1.73697463120067	881.125503617604	-438.562751808802	No	1.0
